Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,65.470001,65.750000,64.720001,64.809998,64.809998,2460130
2021-09-16,65.089996,66.010002,65.010002,65.089996,65.089996,2427116
2021-09-17,65.449997,65.449997,63.070000,63.090000,63.090000,7740627
2021-09-20,62.000000,62.000000,60.139999,61.770000,61.770000,6134904
2021-09-21,62.639999,63.310001,62.250000,62.389999,62.389999,3044255
2021-09-22,63.180000,63.650002,62.500000,63.509998,63.509998,2127372
2021-09-23,64.500000,64.500000,63.450001,63.939999,63.939999,2281284
2021-09-24,63.580002,64.000000,63.169998,63.790001,63.790001,1686863
2021-09-27,64.459999,65.139999,64.389999,64.720001,64.720001,2587916
2021-09-28,64.559998,65.940002,64.559998,64.809998,64.809998,3525382
2021-09-29,65.349998,66.089996,64.809998,65.830002,65.830002,2520325
2021-09-30,66.320000,66.480003,65.389999,65.849998,65.849998,3206486
2021-10-01,64.529999,65.339996,64.099998,64.599998,64.599998,3023397
2021-10-04,64.300003,65.330002,64.070000,64.529999,64.529999,1764367
2021-10-05,64.349998,64.730003,63.779999,64.610001,64.610001,2398835
2021-10-06,63.990002,64.180000,61.860001,61.910000,61.910000,4037481
2021-10-07,63.119999,63.669998,62.250000,63.340000,63.340000,2862561
2021-10-08,63.189999,63.779999,63.110001,63.680000,63.680000,1942204
2021-10-11,63.500000,64.330002,63.360001,64.190002,64.190002,1576288
2021-10-12,63.580002,64.550003,63.270000,64.550003,64.550003,2431901
2021-10-13,64.500000,65.129997,63.919998,64.900002,64.900002,2169185
2021-10-14,65.260002,65.400002,64.559998,65.089996,65.089996,2216800
2021-10-15,64.900002,65.269997,64.459999,65.000000,65.000000,2476482
2021-10-18,65.040001,65.169998,63.840000,64.059998,64.059998,2210466
2021-10-19,64.220001,64.260002,63.610001,63.740002,63.740002,2017089
2021-10-20,63.529999,63.779999,62.880001,63.480000,63.480000,1951333
2021-10-21,62.840000,63.180000,62.610001,62.799999,62.799999,1900695
2021-10-22,62.810001,63.299999,62.650002,62.799999,62.799999,1820061
2021-10-25,63.020000,63.490002,62.480000,63.200001,63.200001,2000692
2021-10-26,63.320000,63.959999,62.970001,63.540001,63.540001,2402234
2021-10-27,63.799999,63.799999,62.709999,63.450001,63.450001,4044880
2021-10-28,63.299999,63.580002,62.299999,62.549999,62.549999,3299884
2021-10-29,62.230000,62.490002,61.810001,62.279999,62.279999,3567852
2021-11-01,62.599998,63.500000,62.480000,62.790001,62.790001,1879961
2021-11-02,62.500000,62.619999,61.500000,62.209999,62.209999,3963943
2021-11-03,62.490002,62.930000,61.880001,62.570000,62.570000,2088993
2021-11-04,63.000000,63.320000,61.509998,61.509998,61.509998,3313692
